go:0004	shipped	the gateway is pure Go and it is not in the repository the HIP names: ai (module github.com/hanzoai/ai) serves /v1/chat/completions with model routing at ai/router/routing_policy.go and per-request metering. hanzoai/llm, which the HIP gives as its Repository, is not on disk
go:0005	partial	hsm/signer_mldsa.go:21 MLDSASigner over luxfi/crypto/mldsa and kms/sdk/go/cek.go:82 WrapCEKForMember (hybrid ML-KEM-768 + X25519 HPKE) are real. The at-rest opener cloud actually links, hanzoai/cek v0.2.3, is classical, and the AI-specific layers the HIP adds — encrypted weights, encrypted inference — have no Go
go:0009	partial	agent/agent.go serves POST /v1/agent as a single tool-calling round with per-org SQLite history. The multi-agent network routing and shared-state plane the HIP specifies are in the Python and NPM packages, not Go
go:0018	shipped	cloud/plugin/billing/main.go:20 is the app binary and manifest/apps.go:173 the fleet row for /v1/billing; 48 operations resolve, including topup, subscriptions, invoices and the PSP webhook. /v1/billing/refund and POST /v1/billing/auto-recharge are absent, and the HIP itself calls each one "a target, not yet served" (§ lines 434 and 464) — so the code and the spec agree about what is missing
go:0026	partial	cloud/plugin/iam/main.go:21 serves 159 operations over /v1/iam plus the OIDC discovery roots, so the standard's core is real; six operations in the HIP-0026 § operation table are not among them — /v1/iam/get-user, add-user, update-user, delete-user, get-account, get-app-login. The service serves REST collections (/v1/iam/users, /v1/iam/applications, /v1/iam/keys) instead of the verb-per-path spelling the table carries
go:0027	partial	the Go server exists but not where the HIP puts it. ~/work/lux/kms (module github.com/luxfi/kms) holds it; kms/DEPRECATED.md retires the repository HIP-0027 names as its Repository
go:0033	partial	cloud/apps/registry/registry.go:171 serves /v1/registry as an OCI distribution surface. The hanzoai/registry repository the HIP names contains no code at all
go:0036	partial	the Go halves of the pipeline exist — cd is an ArgoCD fork that reconciles, and ci/declared.go:25 reads the pinned image out of a values file — but hanzoai/build, the repository this HIP designates, does not exist, and the workflow standard itself is YAML
go:0040	shipped	go-sdk's api_*.go files are generated from cloud's OpenAPI document (header: "Code generated by OpenAPI Generator"), one file per capability. As with the Rust row, the HIP asserts Stainless and the generator in use is openapi-generator
go:0049	shipped	dns is a CoreDNS fork carrying the Hanzo plugins in tree: plugin/hanzodns/{api.go,api_sync.go,cloudflare.go,kms.go,oidc.go} for API-driven records, plus plugin/geoip
go:0060	shipped	cloud/plugin/functions/main.go:20 is the app binary and manifest/apps.go:217 the fleet row for /v1/functions; 11 operations resolve. The three /v1/functions/{my-function,embed-document,...} paths that do not are the HIP's worked examples of a caller-named function, not routes it fixes
go:0061	shipped	cloud/plugin/notify/main.go:20 is the app binary and manifest/apps.go:409 the fleet row that routes /v1/notify; its own router projection cloud/plugin/notify/openapi.json publishes 4 operations, all of which resolve in the composed fleet document cloud/private.yaml. HIP-0061 fixes the capability rather than enumerating route literals, so the projection is the surface
go:0063	shipped	cloud/plugin/flags/main.go:20 is the app binary and manifest/apps.go:67 the fleet row that routes /v1/flags; its own router projection cloud/plugin/flags/openapi.json publishes 8 operations, and every route HIP-0063 names resolves in the composed fleet document cloud/private.yaml
go:0065	none	no Go backup or disaster-recovery service exists. hanzoai/replicate covers SQLite WAL only and there is no hanzo/backup repository, so the unified plane over SQL, KV, datastore, S3 and checkpoints has no implementation
go:0068	shipped	ingress (module github.com/hanzoai/ingress) is the maintained Traefik v3 fork with the Kubernetes provider intact — 699 Go files, and no config-generation sidecar
go:0069	partial	~/work/lux/zap/mdns/go/zapmdns.go:19 ServiceType = "_hanzo._tcp" publishes and browses the canonical record. The auto-bridge that folds a neighbour's tool manifest into hanzo-mcp is Rust, Python and TypeScript, not Go
go:0074	shipped	cloud/plugin/sbom/main.go:20 serves 3 operations over /v1/sbom. The one path in the HIP that does not resolve is /v1/sbom/ghcr.io/hanzoai/iam, a worked example of an image reference rather than a fixed route
go:0084	partial	real threshold ML-DSA ships in Go at ~/work/lux/pulsar/pkg/pulsar — bcc_sign.go:131 bccSign, distributed_bcc.go:398 NewDistributedBCCSigner, dkg_gpu.go. The daemon seam does not use it: ~/work/lux/pulsar/pkg/pulsard/engine.go:67 registers only Unimplemented(), and reference.go:41 ReferenceDealer says in its own comment that it "performs no threshold protocol" and signs with the group secret it holds. The path the HIP names, ~/work/lux/pulsar-m/ref/go/, does not exist
go:0085	shipped	~/work/lux/consensus/protocol/auth/account_id.go with account_id_test.go — the 48-byte ML-DSA-65 AccountID derivation the HIP pins
go:0086	shipped	~/work/lux/consensus/protocol/auth/tx_envelope.go with tx_envelope_test.go — the typed PQ transaction envelope
go:0087	shipped	~/work/lux/consensus/protocol/auth/permit.go with permit_test.go — the EIP-2612 replacement
go:0088	shipped	all three files the HIP pins exist: ~/work/lux/node/network/kem/scheme.go (ML-KEM session primitives), ~/work/lux/node/network/peer/handshake.go (the state machine) and ~/work/lux/consensus/config/pq_mode.go (the canonical wire bytes)
go:0089	none	status Final, but ~/work/lux/consensus/protocol/auth/beacon.go does not exist. The package holds account_id, tx_envelope, permit, precompile, scheme_ids, hash and contract_profile, and nothing that generates or verifies a randomness beacon
go:0098	none	status Final, but ~/work/lux/consensus/protocol/auth/governance.go does not exist, in the same package that holds every other auth-surface file those HIPs name
go:0103	none	status Final, but ~/work/lux/consensus/protocol/auth/bridge_profile.go — the canonical reference the HIP names three times — is absent
go:0104	partial	~/work/lux/consensus/protocol/auth/precompile.go:50 pins PrecompileAddrPQVerifyMLDSA65 = 0x301 and declares the four function-pointer types. The EVM wiring the HIP names, coreth/core/vm/contracts_pq.go and coreth/precompile/pqverify/, is not present, so the four addresses are declared and nothing dispatches to them
go:0105	shipped	base/plugins holds extruntime, gojavm, wasmvm and v8vm (and jsvm, pyvm, starkvm) as Go packages, plus extbench — the runtime set the HIP specifies
go:0106	shipped	cloud is the reference host and satisfies the contract as written. A plugin's main links its own subsystem and the request tier and nothing else — cloud/plugin/todo/main.go:1-27 is the shape, and all 127 share it; the paths it answers are declared in cloud/manifest/apps.go and projected from the plugin's own live router into cloud/plugin/<name>/openapi.json; cloud/plugin/gen-app-cmds/main.go holds the two views in bijection, refusing a manifest row with no plugin binary and a plugin binary with no row; and the declaration is checked by asking the composed router where each path goes — cloud/manifest/router_test.go:273 TestEveryServedPathReachesTheAppThatServesIt — rather than by reading a committed document
go:0107	partial	vfs/replica/replica.go:171 PushLoop and fence.go:106 NewFencedStore give ship and hydrate with round fencing, which is what the HIP claims shipped. The generalisation is not there: hanzoai/replicate declares no replicate.Source interface and no --source flag, so the four adapters the HIP requires — sqlite-wal, zapdb-log, chain-state, generic-log — do not exist
